drug,symptom,faers_reports,label
lisinopril,hypotension,6783,2
lisinopril,syncope,2703,2
lisinopril,fainting,0,0
lisinopril,oedema,2190,2
lisinopril,swelling,2996,2
lisinopril,rash,8507,2
lisinopril,urticaria,3458,2
lisinopril,hives,0,0
lisinopril,pruritus,7906,2
lisinopril,itching,0,0
lisinopril,vomiting,10851,2
lisinopril,nausea,18800,2
lisinopril,diarrhoea,17412,2
lisinopril,abdominal pain,5024,2
lisinopril,headache,13055,2
lisinopril,migraine,1923,1
lisinopril,tremor,3402,2
lisinopril,insomnia,6848,2
lisinopril,anxiety,7206,2
lisinopril,depression,6084,2
lisinopril,fatigue,20082,2
lisinopril,asthenia,10971,2
lisinopril,weakness,0,0
lisinopril,pyrexia,5310,2
lisinopril,fever,0,0
lisinopril,arthralgia,9549,2
lisinopril,joint pain,0,0
lisinopril,myalgia,4073,2
lisinopril,muscle pain,0,0
lisinopril,back pain,6007,2
lisinopril,cough,8425,2
zestril,myocardial infarction,576,1
zestril,heart attack,0,0
zestril,cardiac arrest,95,0
zestril,stroke,0,0
zestril,cerebrovascular accident,425,1
zestril,anaphylactic reaction,29,0
zestril,anaphylaxis,0,0
zestril,angioedema,92,0
zestril,stevens-johnson syndrome,15,0
zestril,renal failure,439,1
zestril,kidney failure,0,0
zestril,hepatic failure,17,0
zestril,liver failure,0,0
zestril,respiratory failure,97,0
zestril,pulmonary embolism,95,0
zestril,deep vein thrombosis,112,0
zestril,gastrointestinal haemorrhage,217,0
zestril,internal bleeding,0,0
zestril,seizure,34,0
zestril,convulsion,74,0
zestril,suicidal ideation,51,0
zestril,rhabdomyolysis,63,0
zestril,pancreatitis,219,0
zestril,sepsis,121,0
zestril,chest pain,701,1
zestril,dyspnoea,924,1
zestril,shortness of breath,0,0
zestril,dizziness,941,1
zestril,vertigo,57,0
zestril,palpitations,168,0
zestril,tachycardia,111,0
zestril,bradycardia,93,0
zestril,hypertension,851,1
zestril,hypotension,284,0
zestril,syncope,134,0
zestril,fainting,0,0
zestril,oedema,470,1
zestril,swelling,482,1
zestril,rash,557,1
zestril,urticaria,414,1
zestril,hives,0,0
zestril,pruritus,480,1
zestril,itching,0,0
zestril,vomiting,885,1
zestril,nausea,1064,1
zestril,diarrhoea,944,1
zestril,abdominal pain,421,1
zestril,headache,831,1
zestril,migraine,286,0
zestril,tremor,157,0
zestril,insomnia,516,1
zestril,anxiety,780,1
zestril,depression,606,1
zestril,fatigue,1054,1
zestril,asthenia,847,1
zestril,weakness,0,0
zestril,pyrexia,601,1
zestril,fever,0,0
zestril,arthralgia,749,1
zestril,joint pain,0,0
zestril,myalgia,166,0
zestril,muscle pain,0,0
zestril,back pain,306,1
zestril,cough,356,1
amlodipine,myocardial infarction,3219,2
amlodipine,heart attack,0,0
amlodipine,cardiac arrest,2451,2
amlodipine,stroke,0,0
amlodipine,cerebrovascular accident,4190,2
amlodipine,anaphylactic reaction,916,1
amlodipine,anaphylaxis,0,0
amlodipine,angioedema,1987,1
amlodipine,stevens-johnson syndrome,496,1
amlodipine,renal failure,7123,2
amlodipine,kidney failure,0,0
amlodipine,hepatic failure,516,1
amlodipine,liver failure,0,0
amlodipine,respiratory failure,2483,2
amlodipine,pulmonary embolism,2057,2
amlodipine,deep vein thrombosis,1401,1
amlodipine,gastrointestinal haemorrhage,2642,2
amlodipine,internal bleeding,0,0
amlodipine,seizure,1891,1
amlodipine,convulsion,581,1
amlodipine,suicidal ideation,1109,1
amlodipine,rhabdomyolysis,1867,1
amlodipine,pancreatitis,1103,1
amlodipine,sepsis,3100,2
amlodipine,chest pain,5850,2
amlodipine,dyspnoea,17773,2
amlodipine,shortness of breath,0,0
amlodipine,dizziness,14794,2
amlodipine,vertigo,1748,1
amlodipine,palpitations,3819,2
amlodipine,tachycardia,2207,2
amlodipine,bradycardia,3465,2
amlodipine,hypertension,10655,2
amlodipine,hypotension,11233,2
amlodipine,syncope,3822,2
amlodipine,fainting,0,0
amlodipine,oedema,2582,2
amlodipine,swelling,2334,2
amlodipine,rash,8874,2
amlodipine,urticaria,2565,2
amlodipine,hives,0,0
amlodipine,pruritus,8399,2
amlodipine,itching,0,0
amlodipine,vomiting,11805,2
amlodipine,nausea,18247,2
amlodipine,diarrhoea,19001,2
amlodipine,abdominal pain,6250,2
amlodipine,headache,13774,2
amlodipine,migraine,1411,1
amlodipine,tremor,3725,2
amlodipine,insomnia,6250,2
amlodipine,anxiety,5870,2
amlodipine,depression,4611,2
amlodipine,fatigue,21947,2
amlodipine,asthenia,11811,2
amlodipine,weakness,0,0
amlodipine,pyrexia,7813,2
amlodipine,fever,0,0
amlodipine,arthralgia,10476,2
amlodipine,joint pain,0,0
amlodipine,myalgia,4926,2
amlodipine,muscle pain,0,0
amlodipine,back pain,6267,2
amlodipine,cough,9086,2
norvasc,myocardial infarction,2116,2
norvasc,heart attack,0,0
norvasc,cardiac arrest,495,1
norvasc,stroke,0,0
norvasc,cerebrovascular accident,2076,2
norvasc,anaphylactic reaction,217,0
norvasc,anaphylaxis,0,0
norvasc,angioedema,232,0
norvasc,stevens-johnson syndrome,181,0
norvasc,renal failure,2205,2
norvasc,kidney failure,0,0
norvasc,hepatic failure,162,0
norvasc,liver failure,0,0
norvasc,respiratory failure,633,1
norvasc,pulmonary embolism,506,1
norvasc,deep vein thrombosis,513,1
norvasc,gastrointestinal haemorrhage,919,1
norvasc,internal bleeding,0,0
norvasc,seizure,283,0
norvasc,convulsion,454,1
norvasc,suicidal ideation,264,0
norvasc,rhabdomyolysis,391,1
norvasc,pancreatitis,394,1
norvasc,sepsis,789,1
norvasc,chest pain,1992,1
norvasc,dyspnoea,3995,2
norvasc,shortness of breath,0,0
norvasc,dizziness,3665,2
norvasc,vertigo,438,1
norvasc,palpitations,908,1
norvasc,tachycardia,461,1
norvasc,bradycardia,541,1
norvasc,hypertension,2961,2
norvasc,hypotension,1622,1
norvasc,syncope,1001,1
norvasc,fainting,0,0
norvasc,oedema,652,1
norvasc,swelling,638,1
norvasc,rash,2016,2
norvasc,urticaria,648,1
norvasc,hives,0,0
norvasc,pruritus,1712,1
norvasc,itching,0,0
norvasc,vomiting,2589,2
norvasc,nausea,4619,2
norvasc,diarrhoea,3836,2
norvasc,abdominal pain,1414,1
norvasc,headache,3210,2
norvasc,migraine,306,1
norvasc,tremor,1056,1
norvasc,insomnia,1627,1
norvasc,anxiety,1963,1
norvasc,depression,1533,1
norvasc,fatigue,4385,2
norvasc,asthenia,3229,2
norvasc,weakness,0,0
norvasc,pyrexia,1948,1
norvasc,fever,0,0
norvasc,arthralgia,2247,2
norvasc,joint pain,0,0
norvasc,myalgia,1172,1
norvasc,muscle pain,0,0
norvasc,back pain,1778,1
norvasc,cough,1918,1
metoprolol,myocardial infarction,7264,2
metoprolol,heart attack,0,0
metoprolol,cardiac arrest,2796,2
metoprolol,stroke,0,0
metoprolol,cerebrovascular accident,4514,2
metoprolol,anaphylactic reaction,506,1
metoprolol,anaphylaxis,0,0
metoprolol,angioedema,909,1
metoprolol,stevens-johnson syndrome,293,0
metoprolol,renal failure,6588,2
metoprolol,kidney failure,0,0
metoprolol,hepatic failure,522,1
metoprolol,liver failure,0,0
metoprolol,respiratory failure,2115,2
metoprolol,pulmonary embolism,1921,1
metoprolol,deep vein thrombosis,1580,1
metoprolol,gastrointestinal haemorrhage,4044,2
metoprolol,internal bleeding,0,0
metoprolol,seizure,1545,1
metoprolol,convulsion,736,1
metoprolol,suicidal ideation,856,1
metoprolol,rhabdomyolysis,1591,1
metoprolol,pancreatitis,1096,1
metoprolol,sepsis,3102,2
metoprolol,chest pain,6481,2
metoprolol,dyspnoea,18081,2
metoprolol,shortness of breath,0,0
metoprolol,dizziness,15028,2
metoprolol,vertigo,1266,1
metoprolol,palpitations,3753,2
metoprolol,tachycardia,2566,2
metoprolol,bradycardia,3852,2
metoprolol,hypertension,7753,2
metoprolol,hypotension,9325,2
metoprolol,syncope,4117,2
metoprolol,fainting,0,0
metoprolol,oedema,1508,1
metoprolol,swelling,1818,1
metoprolol,rash,7036,2
metoprolol,urticaria,2118,2
metoprolol,hives,0,0
metoprolol,pruritus,6924,2
metoprolol,itching,0,0
metoprolol,vomiting,9094,2
metoprolol,nausea,17268,2
metoprolol,diarrhoea,17631,2
metoprolol,abdominal pain,4844,2
metoprolol,headache,11666,2
metoprolol,migraine,1208,1
metoprolol,tremor,3514,2
metoprolol,insomnia,5763,2
metoprolol,anxiety,5614,2
metoprolol,depression,4451,2
metoprolol,fatigue,20763,2
metoprolol,asthenia,11966,2
metoprolol,weakness,0,0
metoprolol,pyrexia,5675,2
metoprolol,fever,0,0
metoprolol,arthralgia,8412,2
metoprolol,joint pain,0,0
metoprolol,myalgia,3857,2
metoprolol,muscle pain,0,0
metoprolol,back pain,5957,2
metoprolol,cough,7689,2
lopressor,myocardial infarction,1539,1
lopressor,heart attack,0,0
lopressor,cardiac arrest,264,0
lopressor,stroke,0,0
lopressor,cerebrovascular accident,695,1
lopressor,anaphylactic reaction,53,0
lopressor,anaphylaxis,0,0
lopressor,angioedema,53,0
lopressor,stevens-johnson syndrome,43,0
lopressor,renal failure,811,1
lopressor,kidney failure,0,0
lopressor,hepatic failure,54,0
lopressor,liver failure,0,0
lopressor,respiratory failure,310,1
lopressor,pulmonary embolism,264,0
lopressor,deep vein thrombosis,225,0
lopressor,gastrointestinal haemorrhage,484,1
lopressor,internal bleeding,0,0
lopressor,seizure,95,0
lopressor,convulsion,163,0
lopressor,suicidal ideation,78,0
lopressor,rhabdomyolysis,81,0
lopressor,pancreatitis,130,0
lopressor,sepsis,316,1
lopressor,chest pain,798,1
lopressor,dyspnoea,1308,1
lopressor,shortness of breath,0,0
lopressor,dizziness,951,1
lopressor,vertigo,89,0
lopressor,palpitations,339,1
lopressor,tachycardia,237,0
lopressor,bradycardia,233,0
lopressor,hypertension,734,1
lopressor,hypotension,716,1
lopressor,syncope,333,1
lopressor,fainting,0,0
lopressor,oedema,153,0
lopressor,swelling,120,0
lopressor,rash,472,1
lopressor,urticaria,158,0
lopressor,hives,0,0
lopressor,pruritus,397,1
lopressor,itching,0,0
lopressor,vomiting,746,1
lopressor,nausea,1340,1
lopressor,diarrhoea,1079,1
lopressor,abdominal pain,429,1
lopressor,headache,780,1
lopressor,migraine,92,0
lopressor,tremor,288,0
lopressor,insomnia,379,1
lopressor,anxiety,827,1
lopressor,depression,578,1
lopressor,fatigue,1164,1
lopressor,asthenia,982,1
lopressor,weakness,0,0
lopressor,pyrexia,510,1
lopressor,fever,0,0
lopressor,arthralgia,561,1
lopressor,joint pain,0,0
lopressor,myalgia,281,0
lopressor,muscle pain,0,0
lopressor,back pain,517,1
lopressor,cough,427,1
losartan,myocardial infarction,2297,2
losartan,heart attack,0,0
losartan,cardiac arrest,828,1
losartan,stroke,0,0
losartan,cerebrovascular accident,2105,2
losartan,anaphylactic reaction,338,1
losartan,anaphylaxis,0,0
losartan,angioedema,1058,1
losartan,stevens-johnson syndrome,127,0
losartan,renal failure,3254,2
losartan,kidney failure,0,0
losartan,hepatic failure,160,0
losartan,liver failure,0,0
losartan,respiratory failure,754,1
losartan,pulmonary embolism,842,1
losartan,deep vein thrombosis,624,1
losartan,gastrointestinal haemorrhage,1406,1
losartan,internal bleeding,0,0
losartan,seizure,1032,1
losartan,convulsion,220,0
losartan,suicidal ideation,520,1
losartan,rhabdomyolysis,424,1
losartan,pancreatitis,543,1
losartan,sepsis,1239,1
losartan,chest pain,3346,2
losartan,dyspnoea,9214,2
losartan,shortness of breath,0,0
losartan,dizziness,8831,2
losartan,vertigo,794,1
losartan,palpitations,1989,1
losartan,tachycardia,1113,1
losartan,bradycardia,753,1
losartan,hypertension,5126,2
losartan,hypotension,3286,2
losartan,syncope,1714,1
losartan,fainting,0,0
losartan,oedema,712,1
losartan,swelling,1411,1
losartan,rash,5040,2
losartan,urticaria,1465,1
losartan,hives,0,0
losartan,pruritus,5260,2
losartan,itching,0,0
losartan,vomiting,5632,2
losartan,nausea,10171,2
losartan,diarrhoea,10788,2
losartan,abdominal pain,2701,2
losartan,headache,8573,2
losartan,migraine,1063,1
losartan,tremor,2158,2
losartan,insomnia,4057,2
losartan,anxiety,3533,2
losartan,depression,2689,2
losartan,fatigue,12899,2
losartan,asthenia,6418,2
losartan,weakness,0,0
losartan,pyrexia,3645,2
losartan,fever,0,0
losartan,arthralgia,6777,2
losartan,joint pain,0,0
losartan,myalgia,2676,2
losartan,muscle pain,0,0
losartan,back pain,4273,2
losartan,cough,5758,2
cozaar,myocardial infarction,800,1
cozaar,heart attack,0,0
cozaar,cardiac arrest,231,0
cozaar,stroke,0,0
cozaar,cerebrovascular accident,579,1
cozaar,anaphylactic reaction,69,0
cozaar,anaphylaxis,0,0
cozaar,angioedema,91,0
cozaar,stevens-johnson syndrome,25,0
cozaar,renal failure,893,1
cozaar,kidney failure,0,0
cozaar,hepatic failure,54,0
cozaar,liver failure,0,0
cozaar,respiratory failure,196,0
cozaar,pulmonary embolism,223,0
cozaar,deep vein thrombosis,188,0
cozaar,gastrointestinal haemorrhage,377,1
cozaar,internal bleeding,0,0
cozaar,seizure,88,0
cozaar,convulsion,134,0
cozaar,suicidal ideation,100,0
cozaar,rhabdomyolysis,147,0
cozaar,pancreatitis,164,0
cozaar,sepsis,275,0
cozaar,chest pain,735,1
cozaar,dyspnoea,1570,1
cozaar,shortness of breath,0,0
cozaar,dizziness,1474,1
cozaar,vertigo,131,0
cozaar,palpitations,390,1
cozaar,tachycardia,176,0
cozaar,bradycardia,203,0
cozaar,hypertension,967,1
cozaar,hypotension,657,1
cozaar,syncope,318,1
cozaar,fainting,0,0
cozaar,oedema,195,0
cozaar,swelling,182,0
cozaar,rash,723,1
cozaar,urticaria,250,0
cozaar,hives,0,0
cozaar,pruritus,677,1
cozaar,itching,0,0
cozaar,vomiting,891,1
cozaar,nausea,1725,1
cozaar,diarrhoea,1477,1
cozaar,abdominal pain,493,1
cozaar,headache,1188,1
cozaar,migraine,112,0
cozaar,tremor,384,1
cozaar,insomnia,603,1
cozaar,anxiety,763,1
cozaar,depression,582,1
cozaar,fatigue,1664,1
cozaar,asthenia,1083,1
cozaar,weakness,0,0
cozaar,pyrexia,565,1
cozaar,fever,0,0
cozaar,arthralgia,914,1
cozaar,joint pain,0,0
cozaar,myalgia,506,1
cozaar,muscle pain,0,0
cozaar,back pain,728,1
cozaar,cough,831,1
hydrochlorothiazide,myocardial infarction,3049,2
hydrochlorothiazide,heart attack,0,0
hydrochlorothiazide,cardiac arrest,1021,1
hydrochlorothiazide,stroke,0,0
hydrochlorothiazide,cerebrovascular accident,3084,2
hydrochlorothiazide,anaphylactic reaction,536,1
hydrochlorothiazide,anaphylaxis,0,0
hydrochlorothiazide,angioedema,2043,2
hydrochlorothiazide,stevens-johnson syndrome,291,0
hydrochlorothiazide,renal failure,4311,2
hydrochlorothiazide,kidney failure,0,0
hydrochlorothiazide,hepatic failure,320,1
hydrochlorothiazide,liver failure,0,0
hydrochlorothiazide,respiratory failure,1167,1
hydrochlorothiazide,pulmonary embolism,1571,1
hydrochlorothiazide,deep vein thrombosis,1123,1
hydrochlorothiazide,gastrointestinal haemorrhage,1573,1
hydrochlorothiazide,internal bleeding,0,0
hydrochlorothiazide,seizure,862,1
hydrochlorothiazide,convulsion,699,1
hydrochlorothiazide,suicidal ideation,851,1
hydrochlorothiazide,rhabdomyolysis,935,1
hydrochlorothiazide,pancreatitis,1124,1
hydrochlorothiazide,sepsis,1668,1
hydrochlorothiazide,chest pain,4069,2
hydrochlorothiazide,dyspnoea,10708,2
hydrochlorothiazide,shortness of breath,0,0
hydrochlorothiazide,dizziness,10648,2
hydrochlorothiazide,vertigo,1188,1
hydrochlorothiazide,palpitations,2547,2
hydrochlorothiazide,tachycardia,1945,1
hydrochlorothiazide,bradycardia,1386,1
hydrochlorothiazide,hypertension,6725,2
hydrochlorothiazide,hypotension,5339,2
hydrochlorothiazide,syncope,3084,2
hydrochlorothiazide,fainting,0,0
hydrochlorothiazide,oedema,1058,1
hydrochlorothiazide,swelling,1590,1
hydrochlorothiazide,rash,5469,2
hydrochlorothiazide,urticaria,1968,1
hydrochlorothiazide,hives,0,0
hydrochlorothiazide,pruritus,6075,2
hydrochlorothiazide,itching,0,0
hydrochlorothiazide,vomiting,7791,2
hydrochlorothiazide,nausea,13679,2
hydrochlorothiazide,diarrhoea,11749,2
hydrochlorothiazide,abdominal pain,4271,2
hydrochlorothiazide,headache,10251,2
hydrochlorothiazide,migraine,1284,1
hydrochlorothiazide,tremor,2595,2
hydrochlorothiazide,insomnia,5102,2
hydrochlorothiazide,anxiety,5248,2
hydrochlorothiazide,depression,3812,2
hydrochlorothiazide,fatigue,13949,2
hydrochlorothiazide,asthenia,8053,2
hydrochlorothiazide,weakness,0,0
hydrochlorothiazide,pyrexia,5004,2
hydrochlorothiazide,fever,0,0
hydrochlorothiazide,arthralgia,8011,2
hydrochlorothiazide,joint pain,0,0
hydrochlorothiazide,myalgia,3036,2
hydrochlorothiazide,muscle pain,0,0
hydrochlorothiazide,back pain,5049,2
hydrochlorothiazide,cough,6183,2
microzide,myocardial infarction,15,0
microzide,heart attack,0,0
microzide,cardiac arrest,1,0
microzide,stroke,0,0
microzide,cerebrovascular accident,16,0
microzide,anaphylactic reaction,5,0
microzide,anaphylaxis,0,0
microzide,angioedema,2,0
microzide,stevens-johnson syndrome,0,0
microzide,renal failure,18,0
microzide,kidney failure,0,0
microzide,hepatic failure,0,0
microzide,liver failure,0,0
microzide,respiratory failure,4,0
microzide,pulmonary embolism,0,0
microzide,deep vein thrombosis,3,0
microzide,gastrointestinal haemorrhage,18,0
microzide,internal bleeding,0,0
microzide,seizure,3,0
microzide,convulsion,0,0
microzide,suicidal ideation,4,0
microzide,rhabdomyolysis,3,0
microzide,pancreatitis,5,0
microzide,sepsis,2,0
microzide,chest pain,16,0
microzide,dyspnoea,26,0
microzide,shortness of breath,0,0
microzide,dizziness,30,0
microzide,vertigo,0,0
microzide,palpitations,16,0
microzide,tachycardia,3,0
microzide,bradycardia,3,0
microzide,hypertension,35,0
microzide,hypotension,6,0
microzide,syncope,7,0
microzide,fainting,0,0
microzide,oedema,5,0
microzide,swelling,5,0
microzide,rash,16,0
microzide,urticaria,10,0
microzide,hives,0,0
microzide,pruritus,13,0
microzide,itching,0,0
microzide,vomiting,17,0
microzide,nausea,44,0
microzide,diarrhoea,38,0
microzide,abdominal pain,16,0
microzide,headache,24,0
microzide,migraine,6,0
microzide,tremor,12,0
microzide,insomnia,17,0
microzide,anxiety,27,0
microzide,depression,20,0
microzide,fatigue,46,0
microzide,asthenia,29,0
microzide,weakness,0,0
microzide,pyrexia,12,0
microzide,fever,0,0
microzide,arthralgia,19,0
microzide,joint pain,0,0
microzide,myalgia,14,0
microzide,muscle pain,0,0
microzide,back pain,17,0
microzide,cough,19,0
furosemide,myocardial infarction,3720,2
furosemide,heart attack,0,0
furosemide,cardiac arrest,2705,2
furosemide,stroke,0,0
furosemide,cerebrovascular accident,2893,2
furosemide,anaphylactic reaction,518,1
furosemide,anaphylaxis,0,0
furosemide,angioedema,715,1
furosemide,stevens-johnson syndrome,467,1
furosemide,renal failure,8300,2
furosemide,kidney failure,0,0
furosemide,hepatic failure,1028,1
furosemide,liver failure,0,0
furosemide,respiratory failure,2963,2
furosemide,pulmonary embolism,1980,1
furosemide,deep vein thrombosis,1351,1
furosemide,gastrointestinal haemorrhage,4036,2
furosemide,internal bleeding,0,0
furosemide,seizure,1281,1
furosemide,convulsion,628,1
furosemide,suicidal ideation,482,1
furosemide,rhabdomyolysis,1798,1
furosemide,pancreatitis,734,1
furosemide,sepsis,3583,2
furosemide,chest pain,4376,2
furosemide,dyspnoea,17962,2
furosemide,shortness of breath,0,0
furosemide,dizziness,9534,2
furosemide,vertigo,1073,1
furosemide,palpitations,1993,1
furosemide,tachycardia,1718,1
furosemide,bradycardia,2950,2
furosemide,hypertension,4898,2
furosemide,hypotension,10057,2
furosemide,syncope,3542,2
furosemide,fainting,0,0
furosemide,oedema,2809,2
furosemide,swelling,1876,1
furosemide,rash,5215,2
furosemide,urticaria,1317,1
furosemide,hives,0,0
furosemide,pruritus,4527,2
furosemide,itching,0,0
furosemide,vomiting,7839,2
furosemide,nausea,11126,2
furosemide,diarrhoea,12669,2
furosemide,abdominal pain,3969,2
furosemide,headache,7983,2
furosemide,migraine,916,1
furosemide,tremor,2493,2
furosemide,insomnia,3477,2
furosemide,anxiety,3483,2
furosemide,depression,3213,2
furosemide,fatigue,12746,2
furosemide,asthenia,9213,2
furosemide,weakness,0,0
furosemide,pyrexia,6226,2
furosemide,fever,0,0
furosemide,arthralgia,5175,2
furosemide,joint pain,0,0
furosemide,myalgia,2414,2
furosemide,muscle pain,0,0
furosemide,back pain,4264,2
furosemide,cough,6291,2
lasix,myocardial infarction,3670,2
lasix,heart attack,0,0
lasix,cardiac arrest,1588,1
lasix,stroke,0,0
lasix,cerebrovascular accident,2513,2
lasix,anaphylactic reaction,322,1
lasix,anaphylaxis,0,0
lasix,angioedema,271,0
lasix,stevens-johnson syndrome,370,1
lasix,renal failure,5511,2
lasix,kidney failure,0,0
lasix,hepatic failure,711,1
lasix,liver failure,0,0
lasix,respiratory failure,2237,2
lasix,pulmonary embolism,1393,1
lasix,deep vein thrombosis,1174,1
lasix,gastrointestinal haemorrhage,3181,2
lasix,internal bleeding,0,0
lasix,seizure,537,1
lasix,convulsion,660,1
lasix,suicidal ideation,359,1
lasix,rhabdomyolysis,710,1
lasix,pancreatitis,567,1
lasix,sepsis,2447,2
lasix,chest pain,3580,2
lasix,dyspnoea,12601,2
lasix,shortness of breath,0,0
lasix,dizziness,5858,2
lasix,vertigo,582,1
lasix,palpitations,1465,1
lasix,tachycardia,1034,1
lasix,bradycardia,1524,1
lasix,hypertension,3386,2
lasix,hypotension,5400,2
lasix,syncope,2399,2
lasix,fainting,0,0
lasix,oedema,2607,2
lasix,swelling,1543,1
lasix,rash,3255,2
lasix,urticaria,841,1
lasix,hives,0,0
lasix,pruritus,2680,2
lasix,itching,0,0
lasix,vomiting,5207,2
lasix,nausea,8427,2
lasix,diarrhoea,8106,2
lasix,abdominal pain,2938,2
lasix,headache,5303,2
lasix,migraine,604,1
lasix,tremor,1694,1
lasix,insomnia,2345,2
lasix,anxiety,3531,2
lasix,depression,2522,2
lasix,fatigue,8598,2
